Title,Category,Description,Price,URL,imageURL
"PAW Digesticare SB 500mg 30 Capsules","Dog Health","PAW Digesticare SB is a gastrointestinal support probiotic designed for use with antibiotic medication.  PAW Digesticare SB contains 10 billion CFU Saccharomyces boulardii, a probiotic yeast that can be given in conjunction with antibiotics to reduce duration &amp; occurrence of antibiotic associated diarrhoea and help support digestive system health in dogs.  Contains 10bn CFU Saccharomyces boulardii.  Reduces the occurrence and severity of antibiotic associated diarrhoea. Supports a healthy digestive system in dogs. Is the only probiotic available in the Australian veterinary market not affected by antibiotics.  Is your dog taking antibiotics?

The purpose of antibiotic treatment is to kill bacteria that cause infections. However antibiotics do not discriminate between 'bad' bacteria and 'good' bacteria, effectively killing all susceptible bacteria. As a result, the delicate balance of the digestive system is disturbed and the absence of good bacteria can result in poor digestion, diarrhoea, bloat and flatulence. PAW DigestiCare SB can help restore and maintain a healthy balance in the digestive tract by providing 'good' bacteria back to the gut for pets being treated with antibiotics. In fact, PAW DigestiCare SB is the only probiotic available in the Australian veterinary market not affected by antibiotics. Why Use PAW Digesticare SB?

PAW Digesticare SB is ideal for dogs who:   Have been prescribed antibiotics by their vet Are suffering from acute GI symptoms Have been diagnosed with symptoms of chronic GI disorder and require long term probiotic administration

If you notice any of these signs in your pooch, discuss the use of PAW Digesticare SB, as part of a multi-modal treatment plan, with your veterinarian.  Ingredients

Probiotic Blend: PAW Digesticare SB 10 contains billion CFU Saccharomyces boulardii in a 2-part vege capsule. Directions For Use   Directions for use:  Open capsule and sprinkle powder over meals daily or as recommended by your veterinarian.  Daily Dosage:  1-2 capsules daily or as recommended by your veterinarian.  Duration:  As recommended by your Veterinarian.   Precautions  For animal consumption only. Use only as directed by your veterinarian. Use with caution in pregnant or lactating animals as safe use in pregnant and lactating animals has not been established. This product is not an alternative treatment in acute GIT conditions. Consult your veterinarian about the use of this product prior to use.           ","                         $29.40                        ",https://yourpetpa.com.au/collections/dog-health/products/paw-digesticare-sb-500mg-30-capsules,//yourpetpa.com.au/cdn/shop/products/digesticare-sb-500mg-30-capsules-1000px__15668_00e0e4cb-9a7b-4d28-9b4f-fda8ecb1da79.webp?v=1655262314
"Wombaroo Impact Colostrum Supplement For Dogs Cats Livestock Small Animals","Dog Health","Wombaroo Impact is a colostrum supplement to aid the immune function of newborn mammals and marsupial joeys. Key Features  Contains colostrum powder, a rich source of immunoglobulin which may assist with immunity. Added lactoferrin &amp; lactoperoxidase which may provide antibacterial activity and intestinal protection. Contains mannan oligosaccharides (MOS) which may assist the growth of beneficial gut flora.  Ingredients

Bovine colostrum powder, whey protein, omega-3 (including ALA, EPA &amp; DHA) and omega-6 fatty acids (including Arachidonic Acid) , mannan oligosaccharides, vitamins A, B 1,B 2,B 6, B 12,C,D 3,E,K, nicotinamide, pantothenic acid, biotin, folic acid, choline, inositol, calcium, phosphorus, potassium, sodium, magnesium, zinc, iron, manganese, copper, iodine, selenium.  Analysis    Protein (%) 60%   Fat (%) 6%   Carbohydrate (%) 20%   Ash (%) 5%   Immunoglobulin 75g/kg   Lactoferrin 2g/kg   Lactoperoxidase 100,000 IU/kg   Metabolisable Energy (ME) 16 MJ/kg            ","                         $114.99                        ",https://yourpetpa.com.au/collections/dog-health/products/wombaroo-impact-colostrum-supplement-for-dogs-cats-livestock-small-animals,//yourpetpa.com.au/cdn/shop/products/wombaroo-impact-colostrum.jpg?v=1646640289
"Oticlean Skin and Ear Cleansing Solution (125ml)","Dog Health","Ilium Oticlean Skin And Ear Cleansing Solution is for use as an adjunct in the treatment of otitis externa, wounds and abrasions when healing is impaired by the presence of necrotic tissue, debris or wax in horses, dogs and cats. Ilium Oticlean Skin And Ear Cleansing Solution is recommended for use as an adjunct in the treatment of:  Otitis externa (inflammation of the ear canal)   Wounds and abrasions when healing is impaired by the presence of necrotic tissue Debris or wax in horses, dogs and cats ears Used to promote the healing of ear canals by gently removing built up wax Used to promote the healing of wounds by gently removing built up necrotic tissue from the treated area Inhibits bacterial growth in the treated area, whilst cleaning and promoting healthy tissue regeneration Can be used as a regular ear cleaner or in combination with ear drops to aid in the treatment of ear infections Useful to clean superficial wounds and abrasions  Directions for Use

Use only as directed by your veterinarian.  Wounds:  Apply liberally to clean the wound Repeat application 2 - 3 times daily as necessary

Ears:  Routine cleaning - instill liberally into ear canal, massage base of ear to loosen wax, repeat as required Otitis Externa - follow routine cleaning directions, repeating 1 - 3 times daily for several days or as directed by a veterinarian           ","                         $10.90                        ",https://yourpetpa.com.au/collections/dog-health/products/oticlean-skin-and-ear-cleansing-solution-125ml,//yourpetpa.com.au/cdn/shop/products/ilium-oticlean-skin-and-ear-cleansing-solution-125ml-bottle__25210.1554467620.jpg?v=1655185507
"HemaStop Styptic","Dog Health","The HemaStop Styptic is comprised of two proven styptic compounds, to quickly stop bleeding. Use on bleeding nails, beaks, skin, or any external minor bleeding.  Ferric subsulfate powder is incorporated into a wax petrolatum substrate. The wax serves to seal the nail as well as hold the styptic in place. The wax substrate maintains HemaStop in a tidy, usable form. It has none of the problems associated with the powdered styptics: no more rock-hard clumps or stained mess during application.

Directions: When confronted with a bleeding nail, one should hold the paw firmly, acting as a tourniquet, while blotting away blood. Then brush the HemaStop Styptic Stick into the cut surface. One application is usually sufficient but with very short trims the process may have to be repeated to stop the bleeding. For best results, use HemaStop like putty, pressing it into the bleeding wound. Residual blood on the surface of the product will not affect its future usability, however, it is easy to clean off by wiping it with a paper towel. This same application technique works when trimming beaks 
         ","                         $14.99                        ",https://yourpetpa.com.au/collections/dog-health/products/hemastop-styptic,//yourpetpa.com.au/cdn/shop/products/s796040635652026869_p1012_i1_w1200.jpg?v=1655263678
"Natural Animal Solutions Goat Milk Powder For Dogs and Cats","Dog Health","               

Natural Animal Solutions Goat Milk Powder is an excellent milk replacement for young animals.

Product details  Nutritionally dense powdered goat milk ideal for young tummies 100% filler and cow dairy free low in lactose, high in protein free from whey proteins which can cause diarrhoea in weaning babies full of essential nutrients, vitamins and minerals perfect supplement for cats, dogs, kittens, puppies, livestock and wildlife versatile enough to be used as a tasty healthy treat, or as a nutritional supplement to a sick pet who is refusing to eat Dosage: Add 1 serve to food or mix 1 serve with 150ml of water To make 1 serve: Place 3 scoops of powder into a glass. Measure out 150ml of water. Mix the powder in sufficient water to form a smooth paste then add the remaining water.              ","                         $27.95                        ",https://yourpetpa.com.au/collections/dog-health/products/natural-animal-solutions-goat-milk,//yourpetpa.com.au/cdn/shop/files/NAS-RGB-Goat-Milk.jpg?v=1709700313
"Petosan Toothpaste Small Brush Kit Dogs and Cats","Dog Health","Petosan Dental Kit contains a double-headed toothbrush, and tasty poultry flavoured pet toothpaste.

The toothbrush has two brush heads, which means that it it hugs the tooth, cleaning the front and back simultaneously. The long handle means that you can keep your fingers out of the way, and reach those back molars effectively!

Petosan Dental Care Kit contains :  Petosan Double Headed Pet Toothbrush Petosan Toothpaste 7o grams/2,5 oz, Poultry Flavor
(20 grams/o,7 oz for toy dog kit)           ","                         $15.99                        ",https://yourpetpa.com.au/collections/dog-health/products/petosan-toothpaste-small-brush-kit-dogs-and-cats,//yourpetpa.com.au/cdn/shop/products/400_400_PTKS.jpg?v=1664321041
"Glyde Oral Powder for Dogs 360g","Dog Health","Glyde Mobility Chews for Dogs are nutritional supplements proven to improve joint health and reduce pain and inflammation associated with arthritis. These tasty chews are made with New Zealand Green Lipped Mussel, Glucosamine, and Condroitin, to help relieve the painful signs of arthritis. New Zealand Green Lipped Mussel is clinically proven to reduce inflammation, which in turn reduces joint pain and swelling. It is one of natures best sources of omega 3 fatty acids, and also contains high levels of amino acids, zinc, copper, manganese and Vitamin A, D3, E, and B12. Glucosamine reduces pain, improves mobility and reduces the progression of osteoarthritis. Chondroitin helps stimulate the synthesis of cartilage, reduces joint inflammation, and contains glycosaminoglycan which is used by chondrocytes to make new cartilage.  Contains New Zealand Green-Lipped Mussel, Glucosamine and Chondroitin. Reduces pain and inflammation, increases joint mobility Stimulates synthesis of new cartilage Tasty bite sized chews Highly palatable, gluten-free, all natural ingredients Recommended by veterinarians Safe for long term use

Many factors predispose pets to developing osteoarthritis. Obesity and developmental orthopaedic diseases like hip and elbow dysplasia are common causes. Previous trauma to the joint from accidental injury or surgery can also play a role. Once the joint is damaged or placed under excessive strain, damage occurs to the chondrocytes, the cells that create the cartilage that cushions the joint. The damaged chondrocytes release substances that result in inflammation of the joint which begins a vicious cycle of deterioration. Over time the cartilage disappears resulting in reduced mobility and pain.

Safe for long term use in dogs of all breeds, ages and sizes. Not recommended for use in pregnant animals.

Dosing information:  Please consult your veterinarian for a recommended dose for your pet. A general guide is set out below.    Dog Weight (kg) First 4-6 weeks Maintenance Dose   5 - 10 1 chew 0.5 chew   11 - 20 2 chews 1 chew   21 - 30 3 chews 1.5 chews   31 - 40 4 chews 2 chews   Over 40 5 chews 2.5 chew            ","                         $97.75                        ",https://yourpetpa.com.au/collections/dog-health/products/glyde-mobility-powder-360gm-for-dogs,//yourpetpa.com.au/cdn/shop/products/glyde-joint-powder.png?v=1629773163
"Natural Animal Solutions Organic Calcium For Dogs and Cats 200g","Dog Health","

Natural Animal Solutions are proud to bring you one of the only 100% certified organic bio-available calcium products available in the pet segment, ideal for supporting bone growth and to maintain bone strength.Calcium deficiencies are still a common occurrence in companion animals, despite the claim by many pet foods that their diets are ""complete"". Since Calcium is the foundation block for building strong teeth and bones, you must ensure that your pet is receiving an adequate intake of bio-available calcium when they are young and growing rapidly.Aging pets also benefit from a natural calcium source to prepare their bodies for the changing nutritional needs. Many older pets also cannot chew bones as readily as they did in their younger years and need a natural, easily digestible calcium supplement.Nature's Organic Calcium is an organic plant based calcium containing naturally-available zinc, magnesium, boron, iron and other essential nutrients. This high-potency low-dosage formula is easy to supplement for all animals, allows for rapid absorption and is highly cost-effective, with a dose 8 x less than many other products available in the Pet Market.               ","                         $10.99                        ",https://yourpetpa.com.au/collections/dog-health/products/natural-animal-solutions-organic-calcium-200g,//yourpetpa.com.au/cdn/shop/files/NAS-RGB-Natures-Calcium.jpg?v=1709700451
"Iodin Spray 500mL","Dog Health","Troy Iodine Spray is an antiseptic spray for use in dressing wounds and preventing skin infections caused by bacteria and fungi. It can be used in dogs, cats, horses, and other mammalian species. Iodine is a compound that kills bacteria and fungus in a quick and effective manner. This spray can be used to treat bacterial skin infections, fungal infections such as ringworm, and to prevent infection in cuts and wounds (however can be painful in open skin).
  Iodine spray - antibacterial and antifungal For use in topical infections, wounds, and treatment of ringworm

Directions: Spray the affected area to achieve full coverage. Can be used as regularly as needed until area has healed.         ","                         $21.01                        ",https://yourpetpa.com.au/collections/dog-health/products/iodin-spray-500ml,//yourpetpa.com.au/cdn/shop/products/IODIN_500ML_800x796_2bd81bb5-556a-4e05-bd1c-41e34f401cc2.png?v=1654590876
"Adaptil Calm Collar for Large Dogs 70cm","Dog Health","                      

The Adaptil Collar is easy to use and convenient as it releases the dog appeasing pheromone constantly). The dog’s body temperature and close contact warm the collar and encourages the diffusion of pheromones into the local environment. It is essential the Adaptil Collar is in close contact with the dog’s skin at all times.   Adaptil Collar is ideal for: During puppy socialization When travelling Crate training When your dog is in a kennel or boarding facility Any kind of training Loud noises Staying home alone 

Every Adaptil collar lasts up to 4 weeks and can be replaced as required.   45cm for Small Dogs and Puppies fits neck up to 37.5cm 70cm for Medium and Large Dogs fits neck up to 62.5cm          
  
                              ","                         $74.30                        ",https://yourpetpa.com.au/collections/dog-health/products/adaptil-calm-collar-for-large-dogs-70cm,//yourpetpa.com.au/cdn/shop/products/Untitleddesign_4.png?v=1664335375
"Urimav Tablets 400mg (100 Tablets)","Dog Health","Urimav 100mg (100 tablets) acts as a urinary acidifier for dogs and cats. Urimav is available in 100mg and 400mg tablets.  Urinary acidifier for dogs and cats Each tablet contains Ammonium Chloride 100mg Aids in reduction of struvite crystalluria in dogs and cats  Assists in dissolving stones in cats with feline urological syndrome  Directions For Use

Give 1 tablet per 5kg of dog or cat body weight twice daily, or as directed by your veterinarian. Precautions

Consult your veterinarian about the proper administration of Urimav Tablets before using this product. Gastrointestinal irritation producing vomiting and diarrhoea may occur in high doses.         ","                         $48.95                        ",https://yourpetpa.com.au/collections/dog-health/products/urimav-tablets-400mg-100-tablets,//yourpetpa.com.au/cdn/shop/products/URIMAV_400mg_-_updated__95573.1623298705.jpg?v=1647340641
"Adaptil Calming Collar for Small Dogs 45cm","Dog Health","                      

The Adaptil Collar is easy to use and convenient as it releases the dog appeasing pheromone constantly). The dog’s body temperature and close contact warm the collar and encourages the diffusion of pheromones into the local environment. It is essential the Adaptil Collar is in close contact with the dog’s skin at all times.   Adaptil Collar is ideal for: During puppy socialization When travelling Crate training When your dog is in a kennel or boarding facility Any kind of training Loud noises Staying home alone 

Every Adaptil collar lasts up to 4 weeks and can be replaced as required.   45cm for Small Dogs and Puppies fits neck up to 37.5cm 70cm for Medium and Large Dogs fits neck up to 62.5cm       
                             ","                         $72.20                        ",https://yourpetpa.com.au/collections/dog-health/products/adaptil-calm-collar-for-small-dogs-45cm,//yourpetpa.com.au/cdn/shop/products/Untitleddesign_3.png?v=1664335330
"Zylkene Chew for Dogs (14's)","Dog Health","What is Zylkene®?
Zylkene®  is a natural calming supplement for dogs and cats facing short-term challenging situations. 

Key benefits

• Most recommended calming supplement by vets*
• Clinically proven calming qualities of natural origin
• Works inside and outside the home so pets feel calmer wherever they are
• No side effects like drowsiness or sleepiness
• Easy to administer and proven palatability

How does it work?
Zylkene®  contains a natural milk protein called casein that has been clinically proven to promote the relaxation of new-borns after breastfeeding.  Casein delivers ‘calming messages’ to the brain via the body’s natural ‘messenger’ system (scientifically known as Neurotransmitters) helping calm a new-born.  Zylkene®  uses this same protein to naturally help calm your cat or dog.

Easy to give
The complementary feed is easy to give.  For cats or small dogs, split the capsule and mix the powder into their food.  For larger dogs, simply feed them the palatable chew.  

When to give Zylkene®?
Give Zylkene®  1-2 days before a predicted stressful event or change in environment.  These short-term triggers may include firework displays, thunderstorms, being home alone, travel or boarding, moving to a new house, a trip to the groomer or vet.  Zylkene®  calming supplements are an ideal choice to help support your cat or dog in challenging situations. Ingredients

Maize pregelatinized starch, glycerin, yeast extracts, cellulose powder, casein10% (trypsin hydrolysed bovine casein), acetic acid esters of monoglycerides and diglycerides of fatty acids made from soybean oil, soybean oil.

 

           ","                         $33.46                        ",https://yourpetpa.com.au/collections/dog-health/products/zylkene-chew-for-dogs-14s,//yourpetpa.com.au/cdn/shop/files/ILC-144145-Zylkene-Chew-Pouch-225MGAU.webp?v=1690257995
"Urimav Tablets 100mg (100 Tablets)","Dog Health","Urimav 100mg (100 tablets) acts as a urinary acidifier for dogs and cats. Urimav is available in 100mg and 400mg tablets.  Urinary acidifier for dogs and cats Each tablet contains Ammonium Chloride 100mg Aids in reduction of struvite crystalluria in dogs and cats Assists in dissolving stones in cats with feline urological syndrome  Directions For Use

Give 1 tablet per 5kg of dog or cat body weight twice daily, or as directed by your veterinarian. Precautions

Consult your veterinarian about the proper administration of Urimav Tablets before using this product. Gastrointestinal irritation producing vomiting and diarrhoea may occur in high doses.         ","                         $15.99                        ",https://yourpetpa.com.au/collections/dog-health/products/urimav-tablets-100mg-100-tablets,//yourpetpa.com.au/cdn/shop/products/URIMAV100__00870.1623298632.jpg?v=1647340584
"Thundershirt Dog Calming Wrap","Dog Health","ThunderShirt is the original, vet recommended, natural calming solution that helps reduce anxiety in dogs in a drug-free way. Like swaddling an infant, our dog anxiety vest's patented design applies gentle, constant pressure to calm all types of anxiety, fear, and over-excitement issues in dogs.

The ThunderShirt helps to calm in over 80% of cases, and is recommended for thunder, fireworks, separation anxiety, travel, &amp; vet visits. Treat anxiety, fear, and over-excitement in style! You’ll love the ThunderShirt’s calming effect on your dog.            Helps to calm in over 80% of cases 
  Veterinarian &amp; trainer recommended No training required

Size Guide
XXSmall – for dogs less than 7lbs (3.5kg) XSmall – for dogs 8-14lbs (3.5kg – 6.5kg)
Small – for dogs 15-25lbs (6.5kg – 11.5kg)
Medium – for dogs 26-40lbs (11.5kg – 18.5kg)
Large – for dogs 41-64lbs (18.5kg – 29.5kg)
XLarge – for dogs 65-110lbs (29.5kg – 50kg)
         ","                         $52.95                        ",https://yourpetpa.com.au/collections/dog-health/products/thundershirt-dog-calming-wrap,//yourpetpa.com.au/cdn/shop/products/thundershirt-3d-pack-right_121229_1.jpg?v=1664256150
"Wombaroo Feeding Bottle (120ml)","Dog Health","Wombaroo 120ml Feeding Bottle is designed to be used with the Wombaroo Latex Teats (all except D teat).  120ml plastic feeding bottle Graduations in ml Neck diameter to fit all Wombaroo teats (except D teat) Sterilised to infant-safe standards

 Teats ordered separately           ","                         $1.52                        ",https://yourpetpa.com.au/collections/dog-health/products/wombaroo-feeding-bottle-120ml,//yourpetpa.com.au/cdn/shop/products/Bottle_8240f1e1-d434-4e8c-b622-2ff0417faa37.jpg?v=1635312712
"Petkin Doggy Sunstick","Dog Health","Just like people, dogs need protection from the sun. Doggy Sunstick provides the fastest, most convenient way to protect your dog from the sun’s harmful ultraviolet rays whenever they’re outdoors. 

The gentle, non-greasy stick formula was developed especially for dogs and compares to SPF 15 rated sunscreens for people. 

Simply rub  on anytime your dog is out in the sun, especially on ears, nose, muzzle, pink skin areas and any other spots where skin is exposed to the sun. 

- simply rub on anytime for instant sun protection  
- compares to SPF 15 rated sunscreens for people          ","                         $13.50                        ",https://yourpetpa.com.au/collections/dog-health/products/petkin-doggy-sunstick,//yourpetpa.com.au/cdn/shop/products/124239_1_n_petkin-doggy-sunstick.jpg?v=1637894240
"Petosan Toothpaste Medium Brush Kit Dogs and Cats","Dog Health","Petosan Dental Kit contains a double-headed toothbrush, and tasty poultry flavoured pet toothpaste.

The toothbrush has two brush heads, which means that it it hugs the tooth, cleaning the front and back simultaneously. The long handle means that you can keep your fingers out of the way, and reach those back molars effectively!

Petosan Dental Care Kit contains :  Petosan Double Headed Pet Toothbrush Petosan Toothpaste 7o grams/2,5 oz, Poultry Flavor
(20 grams/o,7 oz for toy dog kit)           ","                         $16.99                        ",https://yourpetpa.com.au/collections/dog-health/products/petosan-toothpaste-medium-brush-kit-dogs-and-cats,//yourpetpa.com.au/cdn/shop/products/400_400_PTKM_1.jpg?v=1664321196
"Fungafite Cream (50g Tube)","Dog Health","Active Ingredients:  Miconazole nitrate 20 mg/g.

Manufacturer : Troy Laboratories

  Directions for Use

While wearing rubber gloves, apply a thin layer of cream sufficient to cover the infected area and a small surrounding area of the pet’s skin. Repeat once daily for 2 to 4 weeks. Severe cases of fungal infections may require treatment for up to 6 weeks. Continue use for up to 1 to 2 weeks after symptoms disappear.

          ","                         $18.95                        ",https://yourpetpa.com.au/collections/dog-health/products/copy-of-frudix-40mg-per-tablet,//yourpetpa.com.au/cdn/shop/products/ilium_fungafite_1.png?v=1660108049
"Adaptil Calm Refill 48ml For Dogs","Dog Health","                      

Use the ADAPTIL Calm Refill  every month to continue to help your dog feel comforted and secure at home, in situations like staying alone, loud noises, visitors and fears.
    Brings you and your dog closer, by creating a reassuring environment at home. Continuous effect, provides constant comfort for your dog   Clinically proven, veterinary used and recommended

   Just plug and play: screw the vial into the electric Diffuser unit, plug it into an electric socket and switch it on   Leave the Diffuser switched on continuously for one month  
                              ","                         $48.99                        ",https://yourpetpa.com.au/collections/dog-health/products/adaptil-calm-refill-48ml-for-dogs,//yourpetpa.com.au/cdn/shop/files/400_400_DAPCR48.jpg?v=1700180405
"Betadine Antiseptic Solution 500mL","Dog Health","

Our trusted antiseptic solution helps to provide infection protection against a variety of germs that can cause infection in minor cuts, scrapes and burns.  Benefits of Betadine Antiseptic Solution:  Original formula trusted by doctors and hospitals Promptly kills germs that can cause infection in minor cuts, scrapes or burns Gentle on minor wounds and surrounding skin to support healthy healing          ","                         $17.55                        ",https://yourpetpa.com.au/collections/dog-health/products/betadine-antiseptic-solution,//yourpetpa.com.au/cdn/shop/products/betadine500ml.jpg?v=1654578244
"Wombaroo Dog Milk Replacer (215g)","Dog Health","Wombaroo Dog Milk is a nutritionally complete and balanced powdered milk formula food for orphaned and early weaned puppies. It may also be used to supplement the nutrition of pregnant, lactating, debilitated, or convalescing dogs. Wombaroo is high in fat content to mimic bitchs milk, and contains all the minerals, fats, and vitamins your puppy needs.  Powdered milk formula for puppies Nutritionally complete, and low in lactose to aid digestion Food for orphaned or early weaned juvenile puppies Can also be used as extra supplementation for pregnant, lactating, debilitated, or convalescing animals All vitamins, minerals, and fats that your puppy needs

Feeding Directions can be found on the packaging.         ","                         $7.99                        ",https://yourpetpa.com.au/collections/dog-health/products/wombaroo-dog-milk-replacer-215g,//yourpetpa.com.au/cdn/shop/products/wombaroo-dog-milk-replacer.png?v=1629964003
"Natural Animal Solutions ItchyScratch Spray For Dogs and Cats 100ml","Dog Health","           Soothe your pet's itching and discomfort with Natural Animal Solutions ItchyScratch Spray. This natural, easy-to-use solution provides immediate relief for your beloved furry friend, helping to nourish and calm their skin.    What is ItchyScratch Spray? ItchyScratch is a quick, natural solution to relieve your pet's itching and discomfort. It's a spray that can be applied directly to their skin, paws, and hotspots.    How Does ItchyScratch Spray Work? This spray is formulated with natural Aloe Vera, Tea Tree Oil, and Golden Seal, creating a cooling effect to soothe your pet's skin. It also helps remove malodors and excess oils that can irritate the skin.    Why Should I Buy ItchyScratch Spray? Choose ItchyScratch for immediate relief from your pet's itching and discomfort. It's easy to use, minimizes their discomfort, and helps maintain their skin's health.    Product Specifications   Size: 100ml  Application: Liquid spray solution  Directions: Simply spray directly onto the affected skin area, 1 to 4 times per day.  Complementary Product: NAS's Dermal Cream can be applied after ItchyScratch for long-lasting hydration.  Safety: Remember to wash your hands after use and avoid contact with your pet's eyes.

Experience the relief your pet deserves with Natural Animal Solutions ItchyScratch Spray. Act now and give your furry companion the comfort they need. For more pet care solutions, visit Your Pet PA.

Disclaimer: Always seek the advice of your veterinarian with any questions you may have regarding the medical condition of your pet. Never disregard professional advice.           ","                         $19.99                        ",https://yourpetpa.com.au/collections/dog-health/products/natural-animal-solutions-itchy-scratch-for-dogs-and-cats-100ml,//yourpetpa.com.au/cdn/shop/files/NAS-RGB-Itchyscratch.jpg?v=1698990138
"Laila & Me Raw Goat Milk Probiotic Powder for Dogs 100g","Dog Health","Improve your dog's gut health with the Laila &amp; Me Raw Goat Milk Powder

If you wish to substitute yoghurt in your dog's diet, the Laila &amp; Me Raw Goat Milk Powder is an all-natural alternative for pet parents who want to better support their dog's digestive health. It is made with Australian-sourced, freeze-dried raw goat milk.

Get it at Your Pet PA Online and make it your dog's new favorite source of nutrition.  Features:  Single-ingredient, freeze-dried raw goat milk powder supplement for dogs Rich in calcium, prebiotics, probiotics, and protein Lower levels of lactose for easier digestion Made in Melbourne, Australia, and pet-nutritionist approved   Available Size:  100g   Ingredients:  100% Australia-Sourced Freeze-Dried Raw Goat Milk Powder

Typical Analysis:  Lactose: 35.5% Milk Fat: 28.3% Milk Protein: 26.5% Minerals: 6.7% Water: 3.0% Energy: 503kCal/300g

Directions:

Add 1 teaspoon to your dog’s food daily or mix 1 teaspoon with half a cup of water.

*Note: Many dogs find goat milk easier to digest because goat milk contains A2 beta-casein protein. However, goat milk still contains some lactose. If your dog is lactose-intolerant, please note that goat milk may not be suitable for them. Please always consult with your vet before purchasing.

 

About Laila and Me: Offering 100% natural and delicious pet treats, Laila and Me is an Australian-owned small business that was founded in 2015 and brings healthy, hypoallergenic treats for pet owners with cats and dogs that have food allergies or sensitivities.         ","                         $20.55                        ",https://yourpetpa.com.au/collections/dog-health/products/laila-me-raw-goat-milk-probiotic-powder-for-dogs-100g,//yourpetpa.com.au/cdn/shop/products/LailaMeRawGoatMilkProbioticPowderforDogs100g.jpg?v=1674633773
"Petosan Toothpaste Large Brush Kit Dogs and Cats","Dog Health","Petosan Dental Kit contains a double-headed toothbrush, and tasty poultry flavoured pet toothpaste.

The toothbrush has two brush heads, which means that it it hugs the tooth, cleaning the front and back simultaneously. The long handle means that you can keep your fingers out of the way, and reach those back molars effectively!

Petosan Dental Care Kit contains :  Petosan Double Headed Pet Toothbrush Petosan Toothpaste 7o grams/2,5 oz, Poultry Flavor
(20 grams/o,7 oz for toy dog kit)           ","                         $17.99                        ",https://yourpetpa.com.au/collections/dog-health/products/petosan-toothpaste-large-brush-kit-dogs-and-cats,//yourpetpa.com.au/cdn/shop/products/400_400_PTKL.jpg?v=1664321278
"Adaptil Transport Spray 60ml For Dogs","Dog Health","            

ADAPTIL  Transport  Spray helps calm your dog on the move.   Makes travel and visits to the vet less stressful Helps reduce signs of stress or fear such as panting, trembling and restlessness during travel

        During car journeys or when going to the vet, spray directly in your car or in your dog’s carrier. During long car journeys: re-spray every 1.5- 2 hours. Always wait about 15 minutes before letting your dog back in the car. Never spray directly on your dog and never spray in the carrier if your dog is inside          ","                         $58.99                        ",https://yourpetpa.com.au/collections/dog-health/products/adaptil-calm-spray-60ml-for-dogs,//yourpetpa.com.au/cdn/shop/files/ADAPTIL-Transport_png.webp?v=1700180235
"Adaptil Calm Home Diffuser For Dogs","Dog Health","                      

ADAPTIL Calm Home Diffuser is an excellent solution to help your dog feel comforted and secure at home, in situations like staying alone, loud noises, visitors and fears.    Brings you and your dog closer, by creating a reassuring environment at home. Continuous effect, provides constant comfort for your dog Clinically proven, veterinary used and recommended   Easy to use      Just plug and play: screw the vial onto the electric Diffuser unit, plug it into an electric socket and switch it on   Leave the Diffuser switched on continuously  Good to Know      Each ADAPTIL Calm  Refill covers an area up to 70 m2    Each Refill lasts up to 30 days. Depending on its environmental surrounds, each Refill may last between 3-5 weeks   Avoid plugging in the ADAPTIL Calm Home Diffuser  under shelves and furniture, or behind doors, curtains and furniture   Ensure continuous comfort to your dog by using an ADAPTIL Calm Refill every month   The diffuser should be checked monthly and replaced every six months to ensure optimum effect       
         
  
                              ","                         $89.50                        ",https://yourpetpa.com.au/collections/dog-health/products/adaptil-calm-home-diffuser,//yourpetpa.com.au/cdn/shop/files/ADAPTIL-Calm-Home-Diffuser_png.webp?v=1690587860
"Crooked Lane Solutions ULTRAmega N3 Oil 200mL","Dog Health","ULTRAmega N3 Oil is an EPA, DHA, essential fatty acid supplement for dogs and cats; beneficial for maintaining joint health function and a normal healthy skin and coat. Supplementing with EPA &amp; DHA may help to reduce pain and dysfunction in dogs with osteoarthritis and may aid in the management of atopic dermatitis.  Fortified with Vitamins A, D and E. Free from artificial colours and flavours. Mercury and dioxins tested.

Benefits

- EPA &amp; DHA supplement for dogs and cats
- For joint, skin and coat health
- Contains vitamin A, D &amp; E
- Free from artificial colours and flavours
- Mercury and dioxin teste

Directions

For maintaining a healthy skin and coat administer 1ml per 10kg bodyweight per day in food (1 pump per 4kg), or as directed by your veterinarian 

For Joint health and mobility administer 2.5ml per 10kg bodyweight per day in food (2.5 pumps per 4kg)

Each 1 gram contains EPA 180mg, DHA 120mg, Vitamin E 1mg,  1 pump delivers approximately 0.4ml

Product Details

Size: 200mL
Type: Oil in Pump Bottle          ","                         $24.99                        ",https://yourpetpa.com.au/collections/dog-health/products/crooked-lane-solutions-ultramega-n3-oil-200ml,//yourpetpa.com.au/cdn/shop/products/CrookedLaneSolutionsULTRAmegaN3Oil200ml_1.jpg?v=1669359073
